stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
2:126:JDFS-9,,"Lišany,,u rybníka",,50.14784025,13.7418964,"7,896",,0,,Europe/Prague,0,
2:127:JDFS-18,,"Údlice,,učiliště",,50.4405648,13.4573647,501,,0,,Europe/Prague,0,
2:127:JDFS-21,,"Chomutov,,Dukelská I",,50.456412925,13.42852595,501,,0,,Europe/Prague,0,
2:127:JDFS-22,,"Chomutov,,Dukelská II",,50.456412925,13.42852595,501,,0,,Europe/Prague,0,
2:129:JDFS-11,,"Lukov,Štěpánov",,50.5285645,13.8719282,474,,0,,Europe/Prague,0,
2:129:JDFS-12,,"Hrobčice,Červený Újezd,rozc.",,50.4941290666667,13.8419514,477,,0,,Europe/Prague,0,
2:129:JDFS-15,,"Hrobčice,Červený Újezd,Ke Mlýnu",,50.4919319,13.84296,"477,477",,0,,Europe/Prague,0,
2:129:JDFS-2,,"Bílina,,nám.",,50.5487938,13.7748652,461,,0,,Europe/Prague,0,
2:129:JDFS-5,,"Hrobčice,Červený Újezd",,50.4941290666667,13.8419514,477,,0,,Europe/Prague,0,
2:129:JDFS-8,,Lukov,,50.52828,13.8852606,474,,0,,Europe/Prague,0,
2:129:JDFS-9,,"Hrobčice,Mukov",,50.504015,13.837441,"477,477",,0,,Europe/Prague,0,
2:12:JDFS-1,,Brozany n.Ohří,,50.4543037,14.1463079,766,,0,,Europe/Prague,0,
2:12:JDFS-10,,"Roudnice n.L.,Podlusky,Chvalínská",,50.4220222,14.2249155,661,,0,,Europe/Prague,0,
2:12:JDFS-12,,Přestavlky,,50.40567,14.1945667,772,,0,,Europe/Prague,0,
2:12:JDFS-13,,"Brozany n.Ohří,,křiž.",,50.4585133333333,14.1369133333333,766,,0,,Europe/Prague,0,
2:12:JDFS-17,,"Roudnice n.L.,,Tyršův stadion",,50.423076,14.2515693,661,,0,,Europe/Prague,0,
2:12:JDFS-18,,"Vědomice,,plavecký bazén",,50.431778,14.2603941,664,,0,,Europe/Prague,0,
2:12:JDFS-2,,Černěves,,50.45465,14.2432156,665,,0,,Europe/Prague,0,
2:12:JDFS-21,,"Roudnice n.L.,,žel.st.",,50.4264,14.2623091,661,,0,,Europe/Prague,0,
2:12:JDFS-22,,Vědomice,,50.43342,14.2538528,664,,0,,Europe/Prague,0,
2:12:JDFS-23,,"Vědomice,Zavadilka",,50.44124,14.2615643,664,,0,,Europe/Prague,0,
2:12:JDFS-24,,"Budyně n.Ohří,,Pražská",,50.4045639,14.1297436,771,,0,,Europe/Prague,0,
2:12:JDFS-26,,"Vědomice,Zavadilka,Na Průhonu",,50.4416821,14.26114035,664,,0,,Europe/Prague,0,
2:12:JDFS-3,,"Doksany,,škola",,50.451795,14.16760395,765,,0,,Europe/Prague,0,
2:12:JDFS-4,,"Doksany,,zámek",,50.45529175,14.16124955,765,,0,,Europe/Prague,0,
2:12:JDFS-5,,Dušníky,,50.4226551,14.19285915,773,,0,,Europe/Prague,0,
2:12:JDFS-6,,"Dušníky,,cesta",,50.4268112,14.2082601,773,,0,,Europe/Prague,0,
2:12:JDFS-7,,"Nové Dvory,Chvalín",,50.43531835,14.196563075,774,,0,,Europe/Prague,0,
2:12:JDFS-8,,"Budyně n.Ohří,Nížebohy",,50.412659325,14.178678025,771,,0,,Europe/Prague,0,
2:12:JDFS-9,,Nové Dvory,,50.44697,14.1807337,774,,0,,Europe/Prague,0,
2:132:JDFS-10,,"Klášterec n.Ohří,,škola",,50.38638305,13.18013955,541,,0,,Europe/Prague,0,
2:132:JDFS-11,,"Klášterec n.Ohří,Miřetice,aut.nádr.",,50.38728,13.1926508,541,,0,,Europe/Prague,0,
2:132:JDFS-13,,"Mikulovice,,statek",,50.3821754,13.2436342,541,,0,,Europe/Prague,0,
2:132:JDFS-17,,"Prunéřov,,EPRU I",,50.41092,13.24939,532,,0,,Europe/Prague,0,
2:132:JDFS-23,,"Rašovice,,čerp.",,50.3850174,13.2172565,541,,0,,Europe/Prague,0,
2:132:JDFS-24,,Vernéřov,,50.3998756,13.2270823,541,,0,,Europe/Prague,0,
2:132:JDFS-26,,"Klášterec n.Ohří,,IP Verne I",,50.40399,13.2322111,541,,0,,Europe/Prague,0,
2:132:JDFS-27,,"Klášterec n.Ohří,,IP Verne II",,50.40399,13.2322111,541,,0,,Europe/Prague,0,
2:132:JDFS-28,,"Kadaň,,Královský Vrch",,50.39390375,13.2551718,531,,0,,Europe/Prague,0,
2:132:JDFS-32,,"Klášterec n.Ohří,,IP Verne III",,50.40399,13.2322111,541,,0,,Europe/Prague,0,
2:132:JDFS-5,,"Kadaň,,Jungmanova",,50.3780022,13.26645705,531,,0,,Europe/Prague,0,
2:132:JDFS-6,,"Kadaň,,Kpt.Jaroše u kina",,50.38318825,13.2708683,531,,0,,Europe/Prague,0,
2:132:JDFS-7,,"Kadaň,,nemocnice poliklinika",,50.39098275,13.27121115,531,,0,,Europe/Prague,0,
2:132:JDFS-8,,"Klášterec n.Ohří,,nám.",,,,541,,0,,Europe/Prague,0,
2:132:JDFS-9,,"Klášterec n.Ohří,,porcelánka",,50.38289265,13.1999344,541,,0,,Europe/Prague,0,
2:134:JDFS-1,,"Petrovice,Krásný Les",,50.7680168,13.9353151,125,,0,,Europe/Prague,0,
2:134:JDFS-3,,"Petrovice,,rozc.Krásný Les",,,,137,,0,,Europe/Prague,0,
2:135:JDFS-19,,Janov,,50.5876045,13.5642748,221,,0,,Europe/Prague,0,
2:135:JDFS-23,,"Hora Sv.Kateřiny,rozc.Malý Háj",,50.5968056,13.4420271,253,,0,,Europe/Prague,0,
2:138:JDFS-1,,"Březno,,důl",,50.3965,13.4158468,585,,0,,Europe/Prague,0,
2:138:JDFS-13,,"Kadaň,,KOH-I-NOOR",,50.37914795,13.2830377,531,,0,,Europe/Prague,0,
2:138:JDFS-16,,"Tušimice,,důl Merkur",,50.389164,13.3311272,533,,0,,Europe/Prague,0,
2:138:JDFS-17,,"Tušimice,,I.ELNA",,50.3835678,13.33263255,533,,0,,Europe/Prague,0,
2:138:JDFS-18,,"Tušimice,,II.ELNA",,50.3835678,13.33263255,533,,0,,Europe/Prague,0,
2:138:JDFS-19,,"Tušimice,,II.stavba",,50.379364,13.3411722,533,,0,,Europe/Prague,0,
2:138:JDFS-20,,"Tušimice,,Sempra",,50.37539,13.3233471,"533,533",,0,,Europe/Prague,0,
2:138:JDFS-6,,"Chomutov,,Moravská",,50.4682579,13.40979005,501,,0,,Europe/Prague,0,
2:13:JDFS-1,,"Dobříň,,rozc.",,50.4343827,14.30458545,681,,0,,Europe/Prague,0,
2:13:JDFS-10,,"Tuhaň,Pavličky",,50.544626,14.49230865,632,,0,,Europe/Prague,0,
2:13:JDFS-13,,"Bechlín,Předonín",,50.4376602,14.3326793,682,,0,,Europe/Prague,0,
2:13:JDFS-14,,Račice,,50.46072195,14.3519373,"657,657",,0,,Europe/Prague,0,
2:13:JDFS-15,,"Štětí,Radouň",,50.479791775,14.396626225,653,,0,,Europe/Prague,0,
2:13:JDFS-17,,"Roudnice n.L.,,Bezděkov škola",,50.4262352,14.2780762,661,,0,,Europe/Prague,0,
