route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
-CISR-592457-1,2:3:CIST-592457-1-114,2:3:CIST-592457-1-114,,592457 114,0,,,1,2
-CISR-592457-1,2:3:CIST-592457-1-115,2:3:CIST-592457-1-115,,592457 115,1,,,1,2
-CISR-592457-1,2:3:CIST-592457-1-116,2:3:CIST-592457-1-116,,592457 116,0,,,1,2
-CISR-592457-1,2:3:CIST-592457-1-117,2:3:CIST-592457-1-117,,592457 117,1,,,1,2
-CISR-592457-1,2:3:CIST-592457-1-118,2:3:CIST-592457-1-118,,592457 118,0,,,1,2
-CISR-592457-1,2:3:CIST-592457-1-119,2:3:CIST-592457-1-119,,592457 119,1,,,1,2
-CISR-592457-1,2:3:CIST-592457-1-120,2:3:CIST-592457-1-120,,592457 120,0,,,1,2
-CISR-592457-1,2:3:CIST-592457-1-201,2:3:CIST-592457-1-201,,592457 201,1,,,1,2
-CISR-592457-1,2:3:CIST-592457-1-202,2:3:CIST-592457-1-202,,592457 202,0,,,1,2
-CISR-592457-1,2:3:CIST-592457-1-203,2:3:CIST-592457-1-203,,592457 203,1,,,1,2
-CISR-592457-1,2:3:CIST-592457-1-204,2:3:CIST-592457-1-204,,592457 204,0,,,1,2
-CISR-592457-1,2:3:CIST-592457-1-205,2:3:CIST-592457-1-205,,592457 205,1,,,1,2
-CISR-592457-1,2:3:CIST-592457-1-206,2:3:CIST-592457-1-206,,592457 206,0,,,1,2
-CISR-592457-1,2:3:CIST-592457-1-207,2:3:CIST-592457-1-207,,592457 207,1,,,1,2
-CISR-592457-1,2:3:CIST-592457-1-208,2:3:CIST-592457-1-208,,592457 208,0,,,1,2
-CISR-552680-1,2:4:CIST-552680-1-148,2:4:CIST-552680-1-148,,552680 148,0,,,1,2
-CISR-552680-1,2:4:CIST-552680-1-150,2:4:CIST-552680-1-150,,552680 150,0,,,1,2
-CISR-552680-1,2:4:CIST-552680-1-151,2:4:CIST-552680-1-151,,552680 151,1,,,1,2
-CISR-552680-1,2:4:CIST-552680-1-152,2:4:CIST-552680-1-152,,552680 152,0,,,1,2
-CISR-552680-1,2:4:CIST-552680-1-153,2:4:CIST-552680-1-153,,552680 153,1,,,1,2
-CISR-552680-1,2:4:CIST-552680-1-154,2:4:CIST-552680-1-154,,552680 154,0,,,1,2
-CISR-552680-1,2:4:CIST-552680-1-155,2:4:CIST-552680-1-155,,552680 155,1,,,1,2
-CISR-552680-1,2:4:CIST-552680-1-156,2:4:CIST-552680-1-156,,552680 156,0,,,1,2
-CISR-552680-1,2:4:CIST-552680-1-157,2:4:CIST-552680-1-157,,552680 157,1,,,1,2
-CISR-552680-1,2:4:CIST-552680-1-158,2:4:CIST-552680-1-158,,552680 158,0,,,1,2
-CISR-552680-1,2:4:CIST-552680-1-159,2:4:CIST-552680-1-159,,552680 159,1,,,1,2
-CISR-001435-1,2:5:CIST-001435-1-101,2:5:CIST-001435-1-101,,001435 101,1,,,0,2
-CISR-001435-1,2:5:CIST-001435-1-102,2:5:CIST-001435-1-102,,001435 102,0,,,0,2
-CISR-001435-1,2:5:CIST-001435-1-103,2:5:CIST-001435-1-103,,001435 103,1,,,0,2
-CISR-001435-1,2:5:CIST-001435-1-104,2:5:CIST-001435-1-104,,001435 104,0,,,0,2
-CISR-001435-1,2:5:CIST-001435-1-105,2:5:CIST-001435-1-105,,001435 105,1,,,0,2
-CISR-001435-1,2:5:CIST-001435-1-106,2:5:CIST-001435-1-106,,001435 106,0,,,0,2
-CISR-001435-1,2:5:CIST-001435-1-107,2:5:CIST-001435-1-107,,001435 107,1,,,0,2
-CISR-001435-1,2:5:CIST-001435-1-108,2:5:CIST-001435-1-108,,001435 108,0,,,0,2
-CISR-001435-1,2:5:CIST-001435-1-201,2:5:CIST-001435-1-201,,001435 201,1,,,0,2
-CISR-001435-1,2:5:CIST-001435-1-202,2:5:CIST-001435-1-202,,001435 202,0,,,0,2
-CISR-001435-1,2:5:CIST-001435-1-203,2:5:CIST-001435-1-203,,001435 203,1,,,0,2
-CISR-001435-1,2:5:CIST-001435-1-204,2:5:CIST-001435-1-204,,001435 204,0,,,0,2
-CISR-001435-1,2:5:CIST-001435-1-209,2:5:CIST-001435-1-209,,001435 209,1,,,0,2
-CISR-001435-1,2:5:CIST-001435-1-210,2:5:CIST-001435-1-210,,001435 210,0,,,0,2
-CISR-001435-1,2:5:CIST-001435-1-211,2:5:CIST-001435-1-211,,001435 211,1,,,0,2
-CISR-001435-1,2:5:CIST-001435-1-212,2:5:CIST-001435-1-212,,001435 212,0,,,0,2
-CISR-582481-1,2:6:CIST-582481-1-101,2:6:CIST-582481-1-101,,582481 101,1,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-102,2:6:CIST-582481-1-102,,582481 102,0,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-103,2:6:CIST-582481-1-103,,582481 103,1,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-104,2:6:CIST-582481-1-104,,582481 104,0,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-105,2:6:CIST-582481-1-105,,582481 105,1,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-106,2:6:CIST-582481-1-106,,582481 106,0,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-107,2:6:CIST-582481-1-107,,582481 107,1,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-108,2:6:CIST-582481-1-108,,582481 108,0,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-109,2:6:CIST-582481-1-109,,582481 109,1,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-110,2:6:CIST-582481-1-110,,582481 110,0,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-111,2:6:CIST-582481-1-111,,582481 111,1,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-112,2:6:CIST-582481-1-112,,582481 112,0,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-113,2:6:CIST-582481-1-113,,582481 113,1,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-114,2:6:CIST-582481-1-114,,582481 114,0,,,1,2
